ingredient_id,name_en,name_es,category,diet,allergens,package_price_eur,package_size,package_unit,supermarket,zone,sku,product_name,captured_at,product_url
tomato,Plum tomato (one piece),Tomate pera,vegetables,vegan,,0.28,0.14,kg,mercadona,mad1,69912,Tomate pera,2026-09-21,https://tienda.mercadona.es/product/69912/tomate-pera-pieza
pepper_red,Red pepper (one piece),Pimiento rojo,vegetables,vegan,,0.7,0.28,kg,mercadona,mad1,69310,Pimiento rojo,2026-09-21,https://tienda.mercadona.es/product/69310/pimiento-rojo-pieza
pepper_green,Green pepper (one piece),Pimiento verde,vegetables,vegan,,0.73,0.26,kg,mercadona,mad1,69312,Pimiento verde,2026-09-21,https://tienda.mercadona.es/product/69312/pimiento-verde-pieza
zucchini,Zucchini (one piece),Calabacín,vegetables,vegan,,0.72,0.38,kg,mercadona,mad1,69338,Calabacín verde,2026-09-21,https://tienda.mercadona.es/product/69338/calabacin-verde-pieza
eggplant,Eggplant (one piece),Berenjena,vegetables,vegan,,0.84,0.38,kg,mercadona,mad1,69326,Berenjena,2026-09-21,https://tienda.mercadona.es/product/69326/berenjena-pieza
broccoli,Broccoli (one piece),Brócoli,vegetables,vegan,,1.35,0.45,kg,mercadona,mad1,69580,Brócoli,2026-09-21,https://tienda.mercadona.es/product/69580/brocoli-pieza
cucumber,Cucumber (one piece),Pepino,vegetables,vegan,,0.34,0.2,kg,mercadona,mad1,69584,Pepino,2026-09-21,https://tienda.mercadona.es/product/69584/pepino-pieza
lettuce,Iceberg lettuce,Lechuga iceberg,vegetables,vegan,,1.05,1.0,ud,mercadona,mad1,68130,Lechuga Iceberg,2026-09-21,https://tienda.mercadona.es/product/68130/lechuga-iceberg-pieza
salad_mix,Mixed salad bag,Ensalada mezcla,vegetables,vegan,,0.85,0.25,kg,mercadona,mad1,69706,Ensalada mezcla 4 estaciones lavada,2026-09-21,https://tienda.mercadona.es/product/69706/ensalada-mezcla-4-estaciones-compuesta-lechuga-iceberg-zanahoria-col-lombarda-paquete
mushrooms_fresh,White mushrooms,Champiñones,vegetables,vegan,,1.56,0.3,kg,mercadona,mad1,26951,Champiñones blancos,2026-09-21,https://tienda.mercadona.es/product/26951/champinon-blanco-bandeja
spinach_frozen,Spinach portions (frozen),Espinacas congeladas,vegetables,vegan,,0.9,0.45,kg,mercadona,mad1,61279,Espinaca en porciones Hacendado ultracongelada,2026-09-21,https://tienda.mercadona.es/product/61279/espinaca-porciones-hacendado-ultracongelada-paquete
green_beans_frozen,Green beans (frozen),Judías verdes congeladas,vegetables,vegan,,1.3,1.0,kg,mercadona,mad1,61283,Judía verde plana Hacendado ultracongelada,2026-09-21,https://tienda.mercadona.es/product/61283/judia-verde-plana-hacendado-ultracongelada-paquete
veg_stirfry_frozen,Vegetable stir-fry mix (frozen),Salteado de verduras congelado,vegetables,vegan,,1.55,0.6,kg,mercadona,mad1,61065,Salteado de verduras Hacendado ultracongelado,2026-09-21,https://tienda.mercadona.es/product/61065/salteado-verduras-hacendado-ultracongelado-paquete
menestra_frozen,Mixed vegetables (frozen),Menestra congelada,vegetables,vegan,,1.75,1.0,kg,mercadona,mad1,52534,Menestra de verduras Hacendado ultracongelada,2026-09-21,https://tienda.mercadona.es/product/52534/menestra-verduras-hacendado-ultracongelada-paquete
banana,Banana (one piece),Banana,fruit,vegan,,0.28,0.18,kg,mercadona,mad1,3824,Banana,2026-09-21,https://tienda.mercadona.es/product/3824/banana-pieza
apple,Red apple (one piece),Manzana roja,fruit,vegan,,0.38,0.19,kg,mercadona,mad1,8177,Manzana roja dulce,2026-09-21,https://tienda.mercadona.es/product/8177/manzana-roja-dulce-pieza
orange,Orange (one piece),Naranja,fruit,vegan,,0.68,0.27,kg,mercadona,mad1,3235,Naranja de mesa,2026-09-21,https://tienda.mercadona.es/product/3235/naranja-mesa-pieza
lemon,Lemon (one piece),Limón,fruit,vegan,,0.6,0.21,kg,mercadona,mad1,3210,Limón,2026-09-21,https://tienda.mercadona.es/product/3210/limon-pieza
chicken_breast,Chicken breast fillets,Filetes de pechuga de pollo,meat_fish,meat,,3.8,0.52,kg,mercadona,mad1,2787,Filetes pechuga de pollo,2026-09-21,https://tienda.mercadona.es/product/2787/filetes-pechuga-pollo-bandeja
chicken_thighs,Boneless chicken thighs,Contramuslos de pollo deshuesados,meat_fish,meat,,3.58,0.55,kg,mercadona,mad1,2789,Contramuslos de pollo deshuesados y sin piel,2026-09-21,https://tienda.mercadona.es/product/2789/contramuslos-pollo-deshuesados-sin-piel-bandeja
chicken_drumsticks,Chicken drumsticks,Jamoncitos de pollo,meat_fish,meat,,3.5,0.92,kg,mercadona,mad1,2778,Jamoncitos de pollo,2026-09-21,https://tienda.mercadona.es/product/2778/jamoncitos-pollo-bandeja
minced_pork,Minced pork,Carne picada de cerdo,meat_fish,meat,sulphites,2.75,0.5,kg,mercadona,mad1,2867,Preparado de carne picada cerdo,2026-09-21,https://tienda.mercadona.es/product/2867/preparado-carne-picada-cerdo-bandeja
minced_beef_pork,Minced beef and pork,Carne picada mixta,meat_fish,meat,sulphites,4.1,0.5,kg,mercadona,mad1,2869,Preparado de carne picada vacuno y cerdo,2026-09-21,https://tienda.mercadona.es/product/2869/preparado-carne-picada-vacuno-cerdo-bandeja
minced_chicken,Minced chicken,Carne picada de pollo,meat_fish,meat,sulphites,3.95,0.5,kg,mercadona,mad1,35774,Preparado de carne picada pollo,2026-09-21,https://tienda.mercadona.es/product/35774/preparado-carne-picada-pollo-bandeja
sausages,Chicken sausages,Salchichas de pollo,meat_fish,meat,"milk,soy",1.75,0.5,kg,mercadona,mad1,53042,Salchichas cocidas de pollo Hacendado,2026-09-21,https://tienda.mercadona.es/product/53042/salchichas-cocidas-pollo-hacendado-pack-2
bacon,Bacon strips,Bacón en cintas,meat_fish,meat,,1.95,0.26,kg,mercadona,mad1,16252,Bacón Hacendado cintas,2026-09-21,https://tienda.mercadona.es/product/16252/bacon-hacendado-cintas
chorizo,Sliced chorizo,Chorizo en lonchas,meat_fish,meat,milk,1.75,0.24,kg,mercadona,mad1,59086,Chorizo extra Hacendado lonchas,2026-09-21,https://tienda.mercadona.es/product/59086/chorizo-extra-hacendado-lonchas-pack-4
ham,Cooked ham slices,Jamón cocido,meat_fish,meat,,1.95,0.25,kg,mercadona,mad1,13988,Jamón cocido sándwich Hacendado lonchas,2026-09-21,https://tienda.mercadona.es/product/13988/jamon-cocido-sandwich-hacendado-lonchas-paquete
tuna_oil,Tuna in sunflower oil (cans),Atún claro en aceite de girasol,meat_fish,fish,fish,2.7,0.24,kg,mercadona,mad1,18092,Atún claro en aceite de girasol Hacendado,2026-09-21,https://tienda.mercadona.es/product/18092/atun-claro-aceite-girasol-hacendado-pack-3
salmon_frozen,Salmon medallions (frozen),Medallones de salmón congelados,meat_fish,fish,fish,3.95,0.25,kg,mercadona,mad1,26749,Medallones de salmón Hacendado cocinar congelados,2026-09-21,https://tienda.mercadona.es/product/26749/medallones-salmon-hacendado-cocinar-congelados-paquete
